User Story ID,User Story,Task ID,Title,URL,Assignees,Status,Estimate,Start date,Target date
1,Establish user stories so that we can create backlogs and kanban,3,5 User Stories,https://github.com/COS420-S2025/TeamF/issues/3,SillyCatEnthusiast,Done,,,
,,4,5 Users Stories,https://github.com/COS420-S2025/TeamF/issues/4,a-daniel-pi,Done,,,
,,5,10 User Stories,https://github.com/COS420-S2025/TeamF/issues/5,TQFrisk,Done,,,
,,7,1 User Story,https://github.com/COS420-S2025/TeamF/issues/7,Holy-Davisan,Done,,,
,,16,Export to be managed the Backlog xlsx file -if possible,https://github.com/COS420-S2025/TeamF/issues/16,Holy-Davisan,Done,,"Feb 20, 2026","Feb 21, 2026"
,,17,Verify the product back log is functional and accurate,https://github.com/COS420-S2025/TeamF/issues/17,a-daniel-pi,Todo,,"Feb 21, 2026","Feb 23, 2026"
,,18,verify the sprint backlog is accurate,https://github.com/COS420-S2025/TeamF/issues/18,SillyCatEnthusiast,Todo,,"Feb 21, 2026","Feb 23, 2026"
,,20,User Stories appended to backlog. @TQFrisk Leads,https://github.com/COS420-S2025/TeamF/issues/20,"a-daniel-pi, SillyCatEnthusiast, TQFrisk",Done,2,"Feb 20, 2026","Feb 24, 2026"
,,21,Peer Review Back Logs,https://github.com/COS420-S2025/TeamF/issues/21,"a-daniel-pi, SillyCatEnthusiast",Todo,1,"Feb 20, 2026","Feb 24, 2026"
,,35,Deliverable 0 Comment Correction User Stories 2-5 & 7,https://github.com/COS420-S2025/TeamF/issues/35,"SillyCatEnthusiast, TQFrisk, a-daniel-pi",Todo,,,
2,Create team documentation,6,Create Team Document,https://github.com/COS420-S2025/TeamF/issues/6,gavinmpierce,Done,,,
,,8,Write document,https://github.com/COS420-S2025/TeamF/issues/8,gavinmpierce,Done,,,
,,9,Write meeting plan,https://github.com/COS420-S2025/TeamF/issues/9,gavinmpierce,Done,,,
,,2,My last name is spelled wrong,https://github.com/COS420-S2025/TeamF/issues/2,,Done,,,
,,27,Appoint Back Up Scribe,https://github.com/COS420-S2025/TeamF/issues/27,,Done,,,
3,Create product documentation and workflows,28,Produce the SRS with approx 22 functional requirements and n<15 non-functional requirements.,https://github.com/COS420-S2025/TeamF/issues/28,TQFrisk,Todo,3,"Feb 20, 2026","Feb 24, 2026"
,,32,Comment-Correction (Description) 6/7,https://github.com/COS420-S2025/TeamF/issues/32,TQFrisk,Todo,,,
,,33,Comment-Correction 4/7 (Description),https://github.com/COS420-S2025/TeamF/issues/33,TQFrisk,Todo,,,
,,34,Comment-Correction 3/7 (Deliverable 0),https://github.com/COS420-S2025/TeamF/issues/34,TQFrisk,Todo,,,
,,12,Fix Group HW1,https://github.com/COS420-S2025/TeamF/issues/12,"a-daniel-pi, SillyCatEnthusiast",Done,,,
,,14,resubmit task 1,https://github.com/COS420-S2025/TeamF/issues/14,gavinmpierce,Done,,,
,,13,Make app name,https://github.com/COS420-S2025/TeamF/issues/13,gavinmpierce,Done,,,
,,40,Organize comments of Deliverable one,https://github.com/COS420-S2025/TeamF/issues/40,TQFrisk,Todo,,,
,,41,D-2 SRS n > 15 Functional Requirements.,https://github.com/COS420-S2025/TeamF/issues/41,TQFrisk,Todo,,,
,,42,D-2 n>10 non-functional Requirements,https://github.com/COS420-S2025/TeamF/issues/42,TQFrisk,Todo,,,
,,43,Architectural Design Article,https://github.com/COS420-S2025/TeamF/issues/43,Holy-Davisan,Todo,,,
,,44,Consolidate the teams use cases descriptions,https://github.com/COS420-S2025/TeamF/issues/44,TQFrisk,Todo,,,
,,,Use case Diagram consolidation,https://github.com/COS420-S2025/TeamF/issues/45,,,,,
4,Prepare initial code so that we have some source code to work off of,19,Install basic dependencies for react applications.,https://github.com/COS420-S2025/TeamF/issues/19,Holy-Davisan,Done,,"Feb 20, 2026","Feb 21, 2026"
,,23,Folder Procedures and Management Acknowledgement,https://github.com/COS420-S2025/TeamF/issues/23,"a-daniel-pi, gavinmpierce, SillyCatEnthusiast, TQFrisk",Done,2,"Feb 20, 2026","Feb 21, 2026"
,,24,Task/event components,https://github.com/COS420-S2025/TeamF/issues/24,TQFrisk,Done,1,,
,,25,Construct the basic UX elements discussed in the meeting and produce some successful functionality,https://github.com/COS420-S2025/TeamF/issues/25,a-daniel-pi,Todo,2,,
,,26,CRUD Form w/Sanitization or Escaping,https://github.com/COS420-S2025/TeamF/issues/26,SillyCatEnthusiast,Done,1,"Feb 21, 2026","Feb 24, 2026"
,,,Add props to utilities,https://github.com/COS420-S2025/TeamF/issues/49,"SillyCatEnthusiast, a-daniel-pi",Todo,,,
,,,Add styling to utilities,https://github.com/COS420-S2025/TeamF/issues/51,"SillyCatEnthusiast, a-daniel-pi",Todo,,,
,,,Organize test and correct utility components and primitives,https://github.com/COS420-S2025/TeamF/issues/47,Holy-Davisan,Todo,,,
,,,A naked form /w front-back relationship using json,https://github.com/COS420-S2025/TeamF/issues/48,SillyCatEnthusiast,Todo,,,
,,,Button utility/primitive,https://github.com/COS420-S2025/TeamF/issues/52,a-daniel-pi,Todo,,,
,,,Modal utility,https://github.com/COS420-S2025/TeamF/issues/53,a-daniel-pi,Todo,,,
,,,Add interfaces to utilities,https://github.com/COS420-S2025/TeamF/issues/50,"SillyCatEnthusiast, a-daniel-pi",Todo,,,
5,Make mockups for UI navigation so that we can discuss how the user will navigate the app,10,User Flows,https://github.com/COS420-S2025/TeamF/issues/10,gavinmpierce,Done,,,
,,11,User Flows,https://github.com/COS420-S2025/TeamF/issues/11,Holy-Davisan,Done,,,
,,15,Task flow diagrams,https://github.com/COS420-S2025/TeamF/issues/15,gavinmpierce,Done,,,
,,22,UI/UX Design,https://github.com/COS420-S2025/TeamF/issues/22,gavinmpierce,Done,5,"Feb 20, 2026","Feb 22, 2026"
6,"As an end-user, I want to be able to view my events and reminders -so to speak in a elegant organized way so that I don’t feel like I am digging through the up to find my to-do’s",,,,,,,,
7,"As a user, I want to be able to group tasks into projects, so that I can organize work by context.",,,,,,,,
8,"As a user, I want to see a list of my most commonly missed tasks, so that I can focus harder on that specific task.",,,,,,,,
9,"As a user, I want dark mode support, so that I can comfortably use the app in low-light environments.",,,,,,,,
10,"As a user, I want to be able to put an end date on recurring tasks, so that they don't show up after they are no longer occurring",,,,,,,,
11,"As a user, I want to be able to delete a task without checking it off, so that if that task no longer needs to be done, it isn’t considered missed or done",,,,,,,,
12,"As a user, I want to be able to mark a task as failed, so that it no longer appears on the to do list, but can be tracked separately from completed tasks",,,,,,,,
13,"As a user, I want to be able to see all tasks that are overdue but still doable, so that still completable but overdue tasks can be tracked",,,,,,,,
14,"As a user, I want to be able to create a new task, so I can keep track of something new that I have to do.",,,,,,,,
