User Story ID,User Story,Task ID,Title,URL,Assignees,Status,Story Type,Estimate,Start date,Target date
1,Establish user stories so that we can create backlogs and kanban,3,5 User Stories,https://github.com/COS420-S2025/TeamF/issues/3,SillyCatEnthusiast,Done,Non-technical,,,
,,4,5 Users Stories,https://github.com/COS420-S2025/TeamF/issues/4,a-daniel-pi,Done,Non-technical,,,
,,5,10 User Stories,https://github.com/COS420-S2025/TeamF/issues/5,TQFrisk,Done,Non-technical,,,
,,7,1 User Story,https://github.com/COS420-S2025/TeamF/issues/7,Holy-Davisan,Done,Non-technical,,,
,,16,Export to be managed the Backlog xlsx file -if possible,https://github.com/COS420-S2025/TeamF/issues/16,Holy-Davisan,Done,Non-technical,,"Feb 20, 2026","Feb 21, 2026"
,,17,Verify the product back log is functional and accurate,https://github.com/COS420-S2025/TeamF/issues/17,a-daniel-pi,Done,Non-technical,,"Feb 21, 2026","Feb 23, 2026"
,,18,verify the sprint backlog is accurate,https://github.com/COS420-S2025/TeamF/issues/18,SillyCatEnthusiast,Done,Non-technical,,"Feb 21, 2026","Feb 23, 2026"
,,20,User Stories appended to backlog. @TQFrisk Leads,https://github.com/COS420-S2025/TeamF/issues/20,"a-daniel-pi, SillyCatEnthusiast, TQFrisk",Done,Non-technical,2,"Feb 20, 2026","Feb 24, 2026"
,,21,Peer Review Back Logs,https://github.com/COS420-S2025/TeamF/issues/21,"a-daniel-pi, SillyCatEnthusiast",Done,Non-technical,1,"Feb 20, 2026","Feb 24, 2026"
,,35,Deliverable 0 Comment Correction User Stories 2-5 & 7,https://github.com/COS420-S2025/TeamF/issues/35,"SillyCatEnthusiast, TQFrisk, a-daniel-pi",Done,Non-technical,,,
,,84,Meeting: update user stories,https://github.com/COS420-S2025/TeamF/issues/84,TQFrisk,Done,Non-technical,,,
,,110,User story review,https://github.com/COS420-S2025/TeamF/issues/110,TQFrisk,Done,Non-technical,,,
,,70,"Update user stories (Part 1, granular)",https://github.com/COS420-S2025/TeamF/issues/70,TQFrisk,Done,Non-technical,,,
,,71,"Update user stories (Part 2, granular)",https://github.com/COS420-S2025/TeamF/issues/71,TQFrisk,Done,Non-technical,,,
2,Create team documentation,6,Create Team Document,https://github.com/COS420-S2025/TeamF/issues/6,gavinmpierce,Done,Non-technical,,,
,,8,Write document,https://github.com/COS420-S2025/TeamF/issues/8,gavinmpierce,Done,Non-technical,,,
,,9,Write meeting plan,https://github.com/COS420-S2025/TeamF/issues/9,gavinmpierce,Done,Non-technical,,,
,,2,My last name is spelled wrong,https://github.com/COS420-S2025/TeamF/issues/2,,Done,Non-technical,,,
,,27,Appoint Back Up Scribe,https://github.com/COS420-S2025/TeamF/issues/27,,Done,Non-technical,,,
,,82,Assign sprint review responsibilities,https://github.com/COS420-S2025/TeamF/issues/82,Holy-Davisan,Done,Non-technical,,,
